Date      - 2021-09-30T13:24:57
Vref      = 3.319 V
Us(+5V)   = 4.912 V
Temp_SiPM = 22.552 C
Temp_CPU  = 31.564 C
U_LED_on  = 2.85 V, (402nm)
+U_SiPM   = 3.289 V
-U_SiPM   = -23.716 V
U_SiPM    = 27.005 V
I_SiPM    = 2.137 uA
No t[s] T[C] U+_SiPM[V] U-_SiPM[V] Vert.angl[grad]. Hor.angl[grad] I_SiPM[uA] I0_SiPM[uA] 
1 13.636 22.536 3.289 -23.712 90 0 2.123 1.201
2 15.64 22.497 3.289 -23.717 90 2 2.862 1.22
3 17.648 22.359 3.289 -23.717 90 4 4.248 1.215
4 19.654 22.482 3.289 -23.714 90 6 5.254 1.206
5 21.658 22.455 3.288 -23.714 90 8 6.205 1.221
6 23.66 22.484 3.289 -23.717 90 10 7.025 1.183
7 25.665 22.463 3.288 -23.716 90 12 7.715 1.214
8 27.674 22.411 3.288 -23.711 90 14 8.375 1.194
9 29.675 22.389 3.289 -23.712 90 16 8.909 1.208
10 31.684 22.361 3.289 -23.716 90 18 9.546 1.193
11 33.686 22.3 3.289 -23.719 90 20 9.963 1.208
12 35.691 22.264 3.289 -23.71 90 22 10.343 1.199
13 37.698 22.203 3.289 -23.715 90 24 10.787 1.177
14 39.703 22.337 3.289 -23.712 90 26 11.023 1.171
15 41.71 22.371 3.289 -23.717 90 28 11.239 1.202
16 43.715 22.342 3.289 -23.713 90 30 11.697 1.152
17 45.717 22.312 3.289 -23.718 90 32 11.908 1.123
18 47.721 22.307 3.289 -23.717 90 34 12.201 1.209
19 49.727 22.282 3.288 -23.717 90 36 12.385 1.173
20 51.735 22.264 3.289 -23.71 90 38 12.481 1.091
21 53.74 22.192 3.289 -23.709 90 40 12.827 1.127
22 55.742 22.122 3.288 -23.718 90 42 12.966 1.177
23 57.745 22.325 3.289 -23.711 90 44 13.22 1.217
24 59.752 22.238 3.289 -23.715 90 46 13.312 1.174
25 61.758 22.278 3.289 -23.716 90 48 13.449 1.178
26 63.761 22.252 3.288 -23.712 90 50 13.673 1.188
27 65.765 22.264 3.288 -23.717 90 52 13.804 1.215
28 67.771 22.173 3.289 -23.716 90 54 13.991 1.197
29 69.777 22.093 3.288 -23.715 90 56 14.078 1.211
30 71.78 22.103 3.289 -23.713 90 58 14.186 1.181
31 73.783 22.251 3.289 -23.718 90 60 14.291 1.142
32 75.791 22.239 3.288 -23.717 90 62 14.341 1.178
33 77.796 22.12 3.288 -23.72 90 64 14.43 1.168
34 79.796 22.207 3.288 -23.717 90 66 14.573 1.154
35 81.802 22.215 3.288 -23.711 90 68 14.622 1.198
36 83.807 22.19 3.289 -23.709 90 70 14.666 1.16
37 85.812 22.11 3.288 -23.713 90 72 14.648 1.176
38 87.818 22.083 3.289 -23.712 90 74 14.735 1.216
39 89.819 22.107 3.289 -23.717 90 76 14.781 1.115
40 91.823 22.166 3.288 -23.716 90 78 14.779 1.16
41 93.828 22.178 3.289 -23.718 90 80 14.824 1.185
42 95.832 21.956 3.288 -23.719 90 82 14.822 1.167
43 97.839 22.188 3.288 -23.716 90 84 14.901 1.196
44 99.842 22.171 3.289 -23.716 90 86 14.87 1.164
45 101.848 22.169 3.289 -23.713 90 88 14.789 1.131
46 103.849 22.052 3.289 -23.722 90 90 14.836 1.178
47 105.856 22.008 3.289 -23.715 90 92 14.827 1.165
48 107.859 22.036 3.289 -23.716 90 94 14.817 1.196
49 109.864 22.118 3.288 -23.719 90 96 14.737 1.205
50 111.867 22.121 3.289 -23.71 90 98 14.743 1.183
51 113.869 22.092 3.289 -23.718 90 100 14.713 1.131
52 115.874 22.082 3.288 -23.717 90 102 14.599 1.117
53 117.88 22.023 3.288 -23.714 90 104 14.564 1.17
54 119.884 22.033 3.289 -23.716 90 106 14.52 1.148
55 121.886 22.145 3.289 -23.721 90 108 14.465 1.126
56 123.889 22.048 3.289 -23.714 90 110 14.361 1.085
