Date      - 2021-09-30T12:35:04
Vref      = 3.319 V
Us(+5V)   = 4.913 V
Temp_SiPM = 21.475 C
Temp_CPU  = 33.833 C
U_LED_on  = 2.85 V, (402nm)
+U_SiPM   = 3.289 V
-U_SiPM   = -23.712 V
U_SiPM    = 27.002 V
I_SiPM    = 0.632 uA
No t[s] T[C] U+_SiPM[V] U-_SiPM[V] Vert.angl[grad]. Hor.angl[grad] I_SiPM[uA] I0_SiPM[uA] 
1 13.599 21.506 3.289 -23.715 90 0 0.622 0.596
2 15.604 21.4 3.289 -23.713 90 2 0.651 0.593
3 17.611 21.52 3.289 -23.711 90 4 0.639 0.581
4 19.612 21.513 3.288 -23.716 90 6 0.645 0.598
5 21.622 21.45 3.289 -23.72 90 8 0.632 0.609
6 23.624 21.384 3.289 -23.715 90 10 0.656 0.598
7 25.629 21.495 3.289 -23.72 90 12 0.615 0.588
8 27.638 21.364 3.289 -23.718 90 14 0.66 0.587
9 29.64 21.435 3.289 -23.719 90 16 0.668 0.63
10 31.644 21.604 3.289 -23.712 90 18 0.736 0.574
11 33.651 21.532 3.289 -23.717 90 20 0.748 0.616
12 35.656 21.469 3.289 -23.716 90 22 0.832 0.554
13 37.663 21.49 3.289 -23.714 90 24 0.864 0.592
14 39.669 21.479 3.289 -23.718 90 26 0.968 0.64
15 41.672 21.506 3.289 -23.716 90 28 0.987 0.591
16 43.676 21.587 3.289 -23.712 90 30 1.5 0.568
17 45.683 21.412 3.289 -23.714 90 32 1.91 0.629
18 47.687 21.484 3.289 -23.715 90 34 2.514 0.64
19 49.693 21.546 3.289 -23.71 90 36 3.063 0.57
20 51.697 21.558 3.289 -23.714 90 38 3.657 0.586
21 53.702 21.432 3.289 -23.713 90 40 5.016 0.53
22 55.708 21.51 3.289 -23.716 90 42 6.033 0.645
23 57.712 21.416 3.289 -23.717 90 44 7.152 0.61
24 59.717 21.441 3.288 -23.719 90 46 8.085 0.617
25 61.719 21.487 3.288 -23.718 90 48 9.027 0.61
26 63.726 21.564 3.289 -23.72 90 50 10.184 0.643
27 65.731 21.464 3.289 -23.715 90 52 11.11 0.612
28 67.736 21.487 3.289 -23.718 90 54 12.161 0.585
29 69.738 21.514 3.288 -23.714 90 56 12.956 0.625
30 71.745 21.543 3.289 -23.715 90 58 13.463 0.58
31 73.748 21.529 3.289 -23.718 90 60 13.641 0.614
32 75.752 21.441 3.289 -23.717 90 62 13.783 0.59
33 77.756 21.485 3.288 -23.713 90 64 13.904 0.619
34 79.761 21.508 3.288 -23.713 90 66 13.983 0.551
35 81.766 21.493 3.288 -23.716 90 68 14.026 0.64
36 83.772 21.437 3.289 -23.714 90 70 14.013 0.597
37 85.777 21.476 3.289 -23.716 90 72 14.147 0.636
38 87.778 21.488 3.289 -23.718 90 74 14.201 0.556
39 89.783 21.451 3.288 -23.714 90 76 14.208 0.564
40 91.788 21.491 3.289 -23.712 90 78 14.216 0.644
41 93.793 21.504 3.288 -23.714 90 80 14.285 0.583
42 95.797 21.495 3.288 -23.716 90 82 14.315 0.655
43 97.8 21.409 3.289 -23.713 90 84 14.303 0.634
44 99.807 21.48 3.289 -23.72 90 86 14.31 0.592
45 101.809 21.499 3.289 -23.713 90 88 14.283 0.626
46 103.813 21.469 3.289 -23.717 90 90 14.26 0.621
47 105.818 21.528 3.289 -23.713 90 92 14.254 0.565
48 107.821 21.562 3.289 -23.715 90 94 14.262 0.625
49 109.826 21.439 3.288 -23.717 90 96 14.243 0.628
50 111.829 21.541 3.288 -23.716 90 98 14.223 0.616
51 113.835 21.448 3.289 -23.712 90 100 14.174 0.661
52 115.84 21.461 3.289 -23.713 90 102 14.046 0.642
53 117.842 21.483 3.288 -23.721 90 104 14.008 0.566
54 119.846 21.509 3.288 -23.713 90 106 13.912 0.579
55 121.852 21.474 3.289 -23.717 90 108 13.857 0.63
56 123.855 21.487 3.289 -23.719 90 110 13.777 0.601
57 125.856 21.571 3.288 -23.717 90 112 13.653 0.612
58 127.862 21.474 3.288 -23.716 90 114 13.5 0.531
59 129.866 21.498 3.289 -23.719 90 116 13.451 0.567
60 131.87 21.466 3.289 -23.714 90 118 13.24 0.61
61 133.871 21.464 3.289 -23.717 90 120 13.038 0.646
62 135.877 21.469 3.289 -23.717 90 122 12.763 0.616
63 137.879 21.497 3.288 -23.718 90 124 12.284 0.616
64 139.885 21.459 3.289 -23.711 90 126 11.43 0.597
65 141.887 21.51 3.289 -23.714 90 128 10.342 0.597
66 143.89 21.441 3.288 -23.716 90 130 9.571 0.608
67 145.895 21.474 3.288 -23.714 90 132 8.162 0.628
68 147.9 21.592 3.289 -23.716 90 134 7.106 0.639
69 149.901 21.491 3.289 -23.717 90 136 5.963 0.602
70 151.905 21.481 3.289 -23.715 90 138 4.793 0.595
71 153.907 21.564 3.289 -23.716 90 140 3.714 0.569
72 155.912 21.471 3.289 -23.714 90 142 2.792 0.604
73 157.915 21.431 3.289 -23.718 90 144 2.102 0.589
74 159.919 21.432 3.289 -23.716 90 146 1.295 0.604
75 161.922 21.458 3.289 -23.716 90 148 0.947 0.59
76 163.927 21.494 3.289 -23.719 90 150 0.872 0.528
77 165.929 21.458 3.288 -23.723 90 152 0.831 0.597
78 167.932 21.46 3.289 -23.721 90 154 0.796 0.636
79 169.935 21.516 3.289 -23.718 90 156 0.797 0.575
80 171.939 21.517 3.289 -23.719 90 158 0.713 0.606
81 173.943 21.412 3.289 -23.72 90 160 0.683 0.628
82 175.948 21.523 3.289 -23.72 90 162 0.702 0.596
83 177.949 21.456 3.289 -23.72 90 164 0.676 0.586
84 179.952 21.61 3.289 -23.717 90 166 0.66 0.61
85 181.954 21.465 3.289 -23.717 90 168 0.662 0.618
86 183.958 21.51 3.289 -23.719 90 170 0.646 0.598
87 185.96 21.448 3.289 -23.716 90 172 0.63 0.603
88 187.964 21.551 3.289 -23.72 90 174 0.599 0.592
89 189.966 21.507 3.289 -23.721 90 176 0.562 0.594
90 191.971 21.43 3.289 -23.715 90 178 0.607 0.618
91 193.972 21.599 3.289 -23.723 90 180 0.619 0.61
92 195.975 21.504 3.289 -23.716 90 178 0.613 0.588
93 197.979 21.441 3.289 -23.715 90 176 0.539 0.564
94 199.982 21.454 3.289 -23.715 90 174 0.611 0.577
95 201.984 21.598 3.289 -23.72 90 172 0.642 0.626
96 203.986 21.51 3.289 -23.719 90 170 0.666 0.617
97 205.989 21.476 3.289 -23.718 90 168 0.657 0.578
98 207.993 21.508 3.289 -23.715 90 166 0.644 0.595
99 209.995 21.52 3.289 -23.719 90 164 0.663 0.601
100 211.997 21.454 3.289 -23.716 90 162 0.702 0.595
101 214 21.471 3.289 -23.718 90 160 0.69 0.593
102 216.002 21.508 3.289 -23.719 90 158 0.74 0.599
103 218.005 21.446 3.289 -23.717 90 156 0.787 0.592
104 220.008 21.491 3.289 -23.717 90 154 0.711 0.598
105 222.009 21.456 3.288 -23.723 90 152 0.822 0.583
106 224.015 21.527 3.289 -23.721 90 150 0.883 0.599
107 226.015 21.508 3.289 -23.72 90 148 0.909 0.604
108 228.017 21.37 3.289 -23.719 90 146 1.32 0.603
109 230.02 21.411 3.289 -23.719 90 144 2.01 0.598
110 232.022 21.427 3.289 -23.718 90 142 2.858 0.629
111 234.025 21.461 3.289 -23.723 90 140 3.631 0.593
112 236.026 21.491 3.289 -23.722 90 138 4.755 0.607
113 238.029 21.481 3.288 -23.716 90 136 5.933 0.61
114 240.031 21.45 3.289 -23.717 90 134 7.097 0.637
115 242.035 21.449 3.289 -23.717 90 132 8.158 0.62
116 244.037 21.531 3.289 -23.718 90 130 9.503 0.561
117 246.039 21.531 3.289 -23.717 90 128 10.368 0.587
118 248.04 21.486 3.288 -23.714 90 126 11.467 0.595
119 250.042 21.5 3.288 -23.716 90 124 12.161 0.634
120 252.044 21.395 3.288 -23.716 90 122 12.687 0.622
121 254.047 21.452 3.289 -23.717 90 120 12.959 0.643
122 256.048 21.508 3.288 -23.717 90 118 13.211 0.6
123 258.05 21.47 3.289 -23.719 90 116 13.34 0.643
124 260.052 21.409 3.289 -23.717 90 114 13.468 0.601
